word,polarity,weight
tiba2,0,0
terbang,0,0
calon2,0,0
sememangnya,0,0
lady,0,0
gentleman,0,0
semuanya,0,0
penakut2,0,0
tv9,0,0
tajuk,0,0
berita,0,0
mlm,0,0
td,0,0
dimana,0,0
title,0,0
refer,0,0
inform,0,0
dibubarkan,0,0
referred,0,0
andai,0,0
confirm,0,0
bocorkan,-0.2,1
rahsia,0,0
puih,0,0
lie,0,0
gave,0,0
period,0,0
kereta,0,0
turun,0,0
kencing,0,0
biggest,0,0
2.6bil,-0.2,1
akaun,0,0
then,0,0
derma,0,0
asshole,-0.6,1
sbg,0,0
seor?,0,0
dilupakan,0,0
dimaafkan,0,0
trail,0,0
home,0,0
sunday,0,0
continuing,0,0
pemecahbelah,-0.5,1
masyarakat,0,0
diperkudakan,-0.3,1
final,0,1
yap,0,0
semoga,0,0
sedar,0,0
akn,0,0
kesilapannya,-0.3,1
begitu,0,0
perit,-0.2,1
ditanggung,0,0
prestasi,0,0
prabowo,0,0
meloloskan,0,0
jokowi,0,0
ahok,0,0
gub,0,0
dki,0,0
dn,0,0
berhasil,0.3,1
lalu,0,0
bal?,0,0
rakyatb3rsamajkw,0,0
kucing,0,0
k?,0,0
malaysiamemilih,0,0
anak2,0,0
project,0,0
wujudkan,0,0
peluang,0,0
kerja,0,0
kema?,0,0
warisan,0,0
libaran,0,0
ubah,-0.7,1
must,0,0
proud,0.8,1
tarik,0,0
redneck,0,0
mak,0,0
cik,0,0
temah,0,0
keagamaan,0,0
masing-masing,0,0
jho,-0.3,1
anassshisham,0,0
azmawiazizan,0,0
ntapi,0,0
punyai,0,0
saman,-0.3,1
terhadap,0,0
npada,0,0
ogos,0,0
mendakwa,-0.3,1
menerima,0,0
rm90,0,0
juta,0,0
pakai,0,0
blusher,0,0
